symbol,name,industry,index_memberships
ARVEE,Arvee Laboratories (India) Limited,,
ARVIND,Arvind Limited,,
ARVINDFASN,Arvind Fashions Limited,,
ARVSMART,Arvind SmartSpaces Limited,,
ASAHIINDIA,Asahi India Glass Limited,Automobile and Auto Components,NIFTY500
ASAL,Automotive Stampings and Assemblies Limited,,
ASALCBR,Associated Alcohols & Breweries Ltd.,,
ASHAPURMIN,Ashapura Minechem Limited,,
ASHIANA,Ashiana Housing Limited,,
ASHIMASYN,Ashima Limited,,
ASHOKA,Ashoka Buildcon Limited,,
ASHOKAMET,Ashoka Metcast Limited,,
ASHOKLEY,Ashok Leyland Limited,Capital Goods,NIFTY500
ASIANENE,Asian Energy Services Limited,,
ASIANHOTNR,Asian Hotels (North) Limited,,
ASIANPAINT,Asian Paints Limited,Consumer Durables,NIFTY50|NIFTY500
ASIANTILES,Asian Granito India Limited,,
ASKAUTOLTD,ASK Automotive Limited,,
ASPINWALL,Aspinwall and Company Limited,,
ASTAR,Asian Star Company Limited,,
ASTEC,Astec LifeSciences Limited,,
ASTERDM,Aster DM Quality Care Limited,Healthcare,NIFTY500
ASTRAL,Astral Limited,Capital Goods,NIFTY500
ASTRAMICRO,Astra Microwave Products Limited,,
ASTRAZEN,AstraZeneca Pharma India Limited,,
ATALREAL,Atal Realtech Limited,,
ATAM,Atam Valves Limited,,
ATGL,Adani Total Gas Limited,Oil Gas & Consumable Fuels,NIFTY500
ATHERENERG,Ather Energy Limited,Automobile and Auto Components,NIFTY500
ATL,Allcargo Terminals Limited,,
ATLANTAA,ATLANTAA LIMITED,,
ATLANTAELE,Atlanta Electricals Limited,,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,,
ATUL,Atul Limited,Chemicals,NIFTY500
ATULAUTO,Atul Auto Limited,,
AUBANK,AU Small Finance Bank Limited,Financial Services,NIFTY500
AURIONPRO,Aurionpro Solutions Limited,,
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,NIFTY500
AURUM,Aurum PropTech Limited,,
AURUS,AURUS GEM CORPORATION LIMITED,,
AUSOMENT,Ausom Enterprise Limited,,
AUTOAXLES,Automotive Axles Limited,,
AVADHSUGAR,Avadh Sugar & Energy Limited,,
AVALON,Avalon Technologies Limited,,
AVANTEL,Avantel Limited,,
AVANTIFEED,Avanti Feeds Limited,,
AVL,Aditya Vision Limited,,
AVONMORE,Avonmore Capital & Management Services Limited,,
AVROIND,AVRO INDIA LIMITED,,
AVTNPL,AVT Natural Products Limited,,
